"PackageFile","Sort","Aggregate","FuzzyLookup","FastLoadInactive","NoTABLOCK","LookupPartialNoCache","SELECT*","OLEDBCommand","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO.NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactProduksiEstate.dtsx","0","0","0","0","0","0","4","0","0","1","2","3","0","221","0","1","17","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactProduksiEstateBlock.dtsx","1","0","0","0","0","0","0","0","0","2","2","0","0","534","0","2","2","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactProduksiMill.dtsx","1","0","0","0","0","0","1","0","0","2","2","2","0","1086","0","2","7","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactPuas.dtsx","1","0","0","0","0","0","1","0","0","2","2","3","0","834","0","2","2","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactPuasDetail.dtsx","1","0","0","0","0","0","2","0","0","2","2","3","0","414","0","2","8","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactStock.dtsx","1","0","0","0","0","0","1","0","0","2","2","2","0","366","0","2","7","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactSupportEstate.dtsx","0","0","0","0","0","0","1","0","0","1","2","2","0","205","0","1","2","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactTargetPuas.dtsx","1","0","0","0","0","0","1","0","0","3","2","3","0","384","0","2","2","0","0","0","0","1","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_FactType_Karyawan.dtsx","6","0","0","0","0","0","0","0","0","4","0","0","0","0","0","3","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_Grading.dtsx","0","0","0","1","0","0","0","0","0","6","0","4","0","0","0","0","2","0","0","0","0","4","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/DWH_HK_ALOKASI.dtsx","0","1","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20DWH%20ALL.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20DWH%20LapHarian.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20DWH%20Panen.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20Forecast%20Daily.dtsx","0","0","0","0","0","0","0","0","0","3","0","1","5","0","0","0","0","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20Forecast%20Daily_Region.dtsx","0","0","0","0","0","0","1","0","0","3","0","1","3","0","0","0","0","0","0","0","0","2","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20Forecast%20Quarter%20Region.dtsx","0","0","0","0","0","0","0","0","0","4","0","3","10","0","0","0","1","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group%20Forecast%20Quarter.dtsx","0","0","0","1","0","0","0","0","0","3","0","1","10","0","0","0","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group_Forecast_Semester.dtsx","0","0","0","0","0","0","0","0","0","4","0","2","10","0","0","0","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group_Forecast_Semester_Region.dtsx","0","0","0","0","0","0","0","0","0","4","0","2","10","0","0","0","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group_Forecast_Yearly.dtsx","0","0","0","0","0","0","0","0","0","4","0","1","10","0","0","0","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group_Forecast_Yearly_Region.dtsx","0","0","0","0","0","0","0","0","0","4","0","2","10","0","0","0","0","0","0","0","0","3","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group_LapRH.dtsx","4","0","0","1","1","0","7","0","0","14","2","17","0","0","0","2","3","0","0","0","0","22","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/Group_TBS_Transaksi.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","5","0","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/GroupSTG_AR.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/GroupSTG_Budget.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0"
"SSISDB/BGADWH_SSIS/BGADWH_SSIS/GroupSTG_Initial_Trans.dtsx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
