"job_id","job_name","step_id","step_name","folder_name","project_name","package_name","execution_count","avg_package_duration_sec","max_package_duration_sec","total_package_duration_sec","succeeded_count","failed_or_unexpected_count","anti_sort","anti_aggregate","anti_fuzzy_lookup","anti_fast_load_inactive","anti_no_tablock","anti_lookup_partial_no_cache","anti_select_star","anti_oledb_command","CartesianCrossJoin","NonSargableFunctionPredicate","OnTheFlyFunctionExpression","NestedViewReference","PivotWindowFunction","UnionAll","NoLockAdvisory","MergeJoinComponent","ImplicitConversionIndicator","ScriptComponent","ADO_NET_or_ODBC_Provider","ExplicitBufferOrThreadSetting","TempStoragePathSetting","DestinationCommitSizeSetting","ExecutePackageTask","CheckpointSetting","FullReloadIndicator","priority_level","priority_basis"
"EDBE384A-CA9D-425A-A3AB-867D19D0D947","SEQUENCE_TABLE_SAP_COBK","1","SEQ_STAGING_COBK","Sequence_Table","Sequence_Table","STG_SAP_COBK.dtsx","1","261.49","261.49","261.49","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","1","0","0","0","P3","Lower-impact or static-only optimization candidate"
"B1D01AEE-D0E7-4950-BF67-A01B4A28A742","RELOKASI BUDGET OPEX","2","Seq Fact","Project_Fact","RELOKASI_BUDGET_PROJECT","FACT_RELOCATION_BUDGET.dtsx","1","247.15","247.15","247.15","1","0","11","2","0","0","0","0","7","0","16","2","11","0","6","339","24","4","0","0",,"0","0","11","0","0","0","P2","Material optimization/investigation candidate"
"FE9026B2-F82D-40D6-B45D-FC7BF486816F","SEQUENCE_TABLE_SAP_BSIS_BSAS_BSIK_BSAK_BSID_BSAD_BKPF","1","Seq BSIS_BSAS","Sequence_Table","Sequence_Table","Seq_BSIS_BSAS.dtsx","7","239.55","351.89","1676.85","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0",,"0","0","3","0","0","0","P3","Lower-impact or static-only optimization candidate"
"B96DE13D-F9AB-4F74-B05A-D2B91B3C4952","DWH_COEP","1","COEP","MR","SSISMR","DWH-COEP.dtsx","3","227.47","370.93","682.41","3","0","0","0","0","0","1","0","0","0","0","1","2","0","0","291","0","0","1","0",,"0","0","1","0","0","1","P2","Material optimization/investigation candidate"
"4315C553-D919-4F86-9441-B6B3B1C5C154","DWH_MR_ETC_SAP","1","SAP FAST TABLES","MR","SSISMR","DWH_SMALLERTABLES.dtsx","2","226.55","232.22","453.1","2","0","0","0","0","0","2","0","0","0","0","7","17","0","13","9","0","0","17","0",,"0","0","23","0","0","1","P2","Material optimization/investigation candidate"
"BB4B3E3D-A4EB-4B41-8575-DC4E4C30AB25","DWH_TRAKSI_LHT","2","Fact Traksi LHT","Project_Fact","DWH_TRAKSI","FACT_TRAKSI_LHT.dtsx","2","216.16","231.12","432.32","2","0","0","0","0","0","0","0","0","0","2","3","1","0","1","0","0","0","0","0",,"0","0","2","0","0","0","P3","Lower-impact or static-only optimization candidate"
"C6A9E91D-9B24-4AD8-B2C3-7126C3C75F9B","DWH_Bearer_Plant","2","DWH_FACT_BP_COEP","Project_Fact","Bearer_Plant","DWH_FACT_BP_COEP.dtsx","1","196.96","196.96","196.96","1","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","1","12","0",,"0","0","1","0","0","0","P2","Material optimization/investigation candidate"
"B96DE13D-F9AB-4F74-B05A-D2B91B3C4952","DWH_COEP","2","COEP EHP 8","Sequence_Table","Sequence_Table","Seq_Staging_SAP_EHP8_COEP.dtsx","3","183.13","243.86","549.39","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",,"0","0","1","0","0","0","P3","Lower-impact or static-only optimization candidate"
"F8DE7718-C3BB-4018-8CEF-4821ABFF2774","Daily Opr - GIP","3","Fact","Project_Fact","DWH_GIP","Fact.dtsx","1","183.1","183.1","183.1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","11","0","0","0","0",,"0","0","7","0","0","0","P2","Material optimization/investigation candidate"
"B86C2C36-C257-4B1E-A542-3F8CFE33E27A","Alokasi Absensi HK","4","Pusingan Panen & Rawat","Project_Fact","ALOKASI_DAN_ABSENSI_HK","FACT_PUSINGAN_PANEN_DAN_RAWAT.dtsx","2","176.22","186.98","352.43","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","294","0","0","0","0",,"0","0","4","0","0","0","P2","Material optimization/investigation candidate"
"6D7C9921-843B-4919-B8A6-D42A047543FA","LAPORAN KEUANGAN KEBUN (LKK)","7","Fact TBS Angkut","Project_Fact","TBS_ANGKUT_PROJECT","UPLOAD_TBS_ANGKUT.dtsx","2","175.66","197.85","351.33","2","0","0","0","0","0","0","0","0","0","3","0","0","0","4","486","5","0","3","0",,"0","0","2","0","0","0","P2","Material optimization/investigation candidate"
"DE99768D-2EE9-43B7-999B-94D63699444F","SPARTA FACT","2","Check Query Process","Project_Fact","DWH_SMALLER_FACT","CHECK_QUERY_DATA.dtsx","3","154.48","186.48","463.45","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","P3","Lower-impact or static-only optimization candidate"
"3126CD92-2F7B-4CED-90CA-A14AF64BD97A","AWS","1","Fact AWS","Project_Fact","AWS","FACT_AWS.dtsx","1","148.07","148.07","148.07","1","0","0","0","0","0","0","0","3","0","0","5","0","0","24","670","0","0","5","0",,"0","0","6","0","0","0","P2","Material optimization/investigation candidate"
"CF2A65BA-7851-40E9-9D71-5433B180775F","COST_TO_MATURITY","1","FACT","Project_Fact","DWH_SMALLER_FACT","FACT_COST_TO_MATURITY.dtsx","2","142.37","196.55","284.74","2","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0",,"0","0","2","0","0","0","P3","Lower-impact or static-only optimization candidate"
"C9AB424D-4260-4EA1-B78C-687B22E66F17","Saldo Treasury","5","Saldo Daily","Project_Fact","SALDO_TREASURY","FACT_SALDO_HARIAN.dtsx","5","137.63","159.62","688.17","5","0","2","0","0","0","0","0","9","0","6","7","0","0","21","1353","0","0","8","0",,"0","0","2","0","0","0","P2","Material optimization/investigation candidate"
"F5090C74-FE2C-479E-8A22-C23FD4B84C05","Areal Statement","1","SOURCE_to_DWH_STG","Areal Statement","Areal Statement","SOURCE_to_DWH_STG.dtsx","1","131.17","131.17","131.17","1","0","2","0","0","0","0","0","4","0","0","0","0","0","864","0","0","0","43","0",,"0","0","13","0","0","0","P2","Material optimization/investigation candidate"
"C9AB424D-4260-4EA1-B78C-687B22E66F17","Saldo Treasury","4","Saldo Monthly","Project_Fact","SALDO_TREASURY","FACT_SALDO_AKHIR_BULAN.dtsx","5","129.54","163.99","647.68","5","0","9","0","0","0","0","0","23","0","15","13","0","0","49","3453","0","0","17","0",,"0","0","10","0","0","0","P2","Material optimization/investigation candidate"
"EEA5F726-2034-485C-829F-FA985754496F","SQA - BHS","1","Fact","Project_Fact","PERFORMANCE_QUALITY_BHS","Fact.dtsx","1","126.04","126.04","126.04","1","0","0","0","0","0","0","0","0","0","4","2","2","0","5","434","0","0","6","0",,"0","0","1","0","0","0","P2","Material optimization/investigation candidate"
"63A3CEA7-786A-4D03-ADB0-ED8D81C7294E","Laporan Uang Muka","1","Fact Laporan Uang Muka","Project_Fact","UANG_MUKA_PROJECT","FACT_UANG_MUKA.dtsx","2","125.77","167.91","251.54","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","347","0","0","0","0",,"0","0","1","0","0","0","P2","Material optimization/investigation candidate"
"4B849F0C-6716-4986-A452-B62D726D012B","Pemakaian Pupuk Anorganik","1","PEMAKAIAN_PUPUK","Project_Fact","PEMAKAIAN_PUPUK_PROJECT","AKTUAL_PEMAKAIAN_PUPUK.dtsx","2","119.3","126.91","238.6","2","0","0","0","0","0","0","0","4","0","4","20","1","0","2","443","0","0","2","0",,"0","0","5","0","0","0","P2","Material optimization/investigation candidate"
"0065998F-70D7-480E-9B20-CFA4521501E0","MONITORING_TICKET_WB","2","Staging","Project_Fact","MONITORING_TICKET_WB","STAGING.dtsx","3","111.87","155.8","335.62","3","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","1","0",,"0","0","12","0","0","2","P2","Material optimization/investigation candidate"
"C90F7844-0223-46FD-B3D0-6701637830B6","Monitoring Pembangkit Listrik Mill","1","Fact","Project_Fact","DWH_POWER_MONITORING","Fact.dtsx","2","102.34","119.95","204.68","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0",,"0","0","1","0","0","0","P3","Lower-impact or static-only optimization candidate"
"EFE670FB-DD03-469F-ADEE-CE0A6CF295BF","SPK_BAPP","2","spk_bapp","Project_Fact","CIVIL_ENGINEERING_PROJECT","FACT_CIVIL_ENGINEERING.dtsx","2","98.93","137.29","197.86","2","0","0","4","0","0","0","0","2","0","6","24","12","0","732","14","0","0","2","0",,"0","0","6","0","0","0","P2","Material optimization/investigation candidate"
"4069B0BD-67C1-418A-8247-0DF7C76090D6","Tax - Monthly","1","Daily DJP","Project_Fact","PPH21_DJP","FACT_DJP.dtsx","1","97.6","97.6","97.6","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","2","0","0","0","0",,"0","0","3","0","0","0","P3","Lower-impact or static-only optimization candidate"
