package_id,name,package_guid,description,package_format_version,version_major,version_minor,version_build,version_comments,version_guid,project_id,entry_point,validation_status,last_validation_time
95229,DWH_FactProduksiEstate.dtsx,1DB5615E-B7CF-4244-AE70-BF828278E236,,8,1,0,72,,07602E14-8C43-4AF5-9EDF-35962B09FD8A,1,1,N,NULL
95213,DWH_FactProduksiEstateBlock.dtsx,526DFCFF-CD93-4C7C-B34C-1FC52FDEF5A6,,8,1,0,41,,F33B6352-FA76-4E0F-9979-88C545368F8A,1,1,N,NULL
95189,DWH_FactProduksiMill.dtsx,03FFF16B-A525-4BCC-BC96-877EE510B8CD,,8,1,0,27,,05E0AF98-E46F-4736-AF22-49B5E0E0D712,1,1,N,NULL
95217,DWH_FactPuas.dtsx,4FE5B217-2ED1-4E80-A957-ED06FAF687BD,,8,1,0,21,,6C1A839A-7EA1-4B41-84E9-5E72C6DFA14D,1,1,N,NULL
95219,DWH_FactPuasDetail.dtsx,29DC571F-1AB6-45F3-B1CB-E06A058BF7E7,,8,1,0,24,,8C7B5075-659E-4FCF-8137-89F0AB0D1BC0,1,1,N,NULL
95190,DWH_FactStock.dtsx,9853069E-D275-41F3-A0C5-79524CF13FC8,,8,1,0,23,,9DB00753-F4AE-4C3D-BD73-69ECB1B78BA2,1,1,N,NULL
95179,DWH_FactSupportEstate.dtsx,C3BC6782-00AE-469F-A29C-6156C429FA9B,,8,1,0,32,,5F550F88-41E5-4504-96D8-455144640C9B,1,1,N,NULL
95216,DWH_FactTargetPuas.dtsx,39364ACD-D03B-4E19-AD91-15F5FA119D1D,,8,1,0,32,,15AE5D46-A04F-4D61-9966-3B14ABFF2660,1,1,N,NULL
95344,DWH_FactType_Karyawan.dtsx,D3254BBF-442A-4B97-86F4-3666B220BC22,,8,1,0,16,,D2CA2CBF-0F41-437D-A941-6D844B30C268,1,1,N,NULL
95346,DWH_Grading.dtsx,E57533EC-4CE1-4AC6-9C18-3F7BCA717847,,8,1,0,20,,F29AF404-029C-45C2-841E-7B003E43C708,1,1,N,NULL
