job_id,job_name,job_enabled,step_id,step_name,subsystem,database_name,command,on_success_action,on_fail_action,retry_attempts,retry_interval,last_run_outcome
018BE64A-756D-4AEE-AF14-0793E9B1691C,ESTIMATION_COST_ELEMENT,1,1,Cost Element Weekly Rate,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\COST_ELEMENT_PROJECT\FACT_COST_ELEMENT_RATE.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
018BE64A-756D-4AEE-AF14-0793E9B1691C,ESTIMATION_COST_ELEMENT,1,2,Cost Element Weekly,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\COST_ELEMENT_PROJECT\FACT_COST_ELEMENT.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
018BE64A-756D-4AEE-AF14-0793E9B1691C,ESTIMATION_COST_ELEMENT,1,3,Proses SSAS Cost Element Weekly,ANALYSISQUERY,Weekly Cost Element Estimation Report,"{   ""refresh"": {     ""type"": ""full"",     ""objects"": [       {         ""database"": ""Weekly Cost Element Estimation Report""       }     ]   } }",1,2,0,0,1
DABD652A-0311-447C-B79E-FA59901538C1,FACT_GRIR,0,1,GRIR_FACT,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\Laporan GRIR\Fact_GRIR.dtsx\"""" /SERVER ""\""BGASVR-DWH-DEV\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
89BDEA38-14E6-4297-9D2D-6484779B9879,Feed Data LKK,1,1,Feed Data LKK Asuransi Tanaman,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_LKK_PROJECT_NEW\FACT_INVESTASI_BIAYA_TANAMAN.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
44A9C4F2-577B-4735-A003-90B9C904A19C,Intercompany Loan,1,1,Daily INLOAN,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\Inter Company Loan\FACT_INLOAN.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
4E5F148B-7B82-46C4-AE3A-1EB4CE8F408E,Internal Audit,1,1,Internal Audit,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\INTERNAL_AUDIT\FACT_INTERNAL_AUDIT.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",1,2,0,0,1
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,1,Set Parameter Job,TSQL,master,"DECLARE @JobID UNIQUEIDENTIFIER, @JobName NVARCHAR(255), @Cmd NVARCHAR(500)  -- Get the Job ID from the SQL Server Agent context SELECT @JobID = job_id  FROM msdb.dbo.sysjobs  WHERE name = 'INVESTOR RELATION'  -- Replace with the actual job name  -- Get the Job Name SELECT @JobName = name FROM msdb.dbo.sysjobs WHERE job_id = @JobID  -- Build command to create text file --SET @Cmd = 'echo ' + @JobName + ' > E:\SQL_Job_Output\' + @JobName + '.txt' SET @Cmd = 'echo ' + @JobName + ' > E:\SQL_Job_Output\Temp.txt'  -- Enable xp_cmdshell (if not enabled) EXEC sp_configure 'show advanced options', 1 RECONFIGURE EXEC sp_configure 'xp_cmdshell', 1 RECONFIGURE  -- Execute command EXEC xp_cmdshell @Cmd",3,2,0,0,1
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,2,Check Query Process,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\DWH_SMALLER_FACT\CHECK_QUERY_DATA.dtsx\"""" /SERVER ""\"".\"""" /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
1DC093A3-2313-446F-89F5-F2436FD0E813,INVESTOR RELATION,1,3,Upload IR,SSIS,master,"/ISSERVER ""\""\SSISDB\Project_Fact\INVESTOR_RELATIONS_PROJECT\Upload_IR.dtsx\"""" /SERVER ""\"".\"""" /X86 /Par ""\""$ServerOption::LOGGING_LEVEL(Int16)\"""";1 /Par ""\""$ServerOption::SYNCHRONIZED(Boolean)\"""";True /CALLERINFO SQLAGENT /REPORTING E",3,2,0,0,1
